"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
267, 8.220187970646738e-01, -4.605718403790445e-03, 1.090128265176117e+00, 7.987633480076738e-01, 9.895085880059526e-02, 3.143844918671572e+00, 1.138686969971899e+00, 1.044544028759714e+00, 6.105485783487630e-01, 3.256479993704777e-01
268, 8.269824337881458e-01, -4.000235862598113e-03, 1.092147522948024e+00, 7.954916084624494e-01, 9.610953763233220e-02, 3.148576682141236e+00, 1.141856090876028e+00, 1.045514517849957e+00, 6.064179103858987e-01, 3.330893464732517e-01
269, 8.319243029934307e-01, -3.412278503527412e-03, 1.094971140006851e+00, 7.945137510790260e-01, 9.364123535642790e-02, 3.156183069615711e+00, 1.145571373865231e+00, 1.046211477188397e+00, 6.036992097797146e-01, 3.418131254466766e-01
270, 8.368445419976813e-01, -2.842509106136323e-03, 1.096842522960002e+00, 7.912799000969035e-01, 9.069304950792378e-02, 3.160518446133855e+00, 1.148539158768820e+00, 1.047132231589004e+00, 5.997290784074907e-01, 3.487817196600446e-01
271, 8.417432796608306e-01, -2.291583459985662e-03, 1.099467967833310e+00, 7.896791348028160e-01, 8.768553393342839e-02, 3.167363259664952e+00, 1.152111237340484e+00, 1.047880675969957e+00, 5.966355821158799e-01, 3.571692433091095e-01
272, 8.466206366546788e-01, -1.760157085166977e-03, 1.101057666808189e+00, 7.870436197237554e-01, 8.458212094378188e-02, 3.171137440690398e+00, 1.154638631606834e+00, 1.048663177609914e+00, 5.933353985092719e-01, 3.631037653959648e-01
273, 8.514767251151552e-01, -1.248878759276007e-03, 1.102873709483205e+00, 7.859832175209882e-01, 8.145084684462352e-02, 3.175678506006208e+00, 1.157039242943547e+00, 1.049113087921665e+00, 5.911964733933182e-01, 3.687405911138042e-01
274, 8.563116480500808e-01, -7.583954646438267e-04, 1.104393512227157e+00, 7.837877206024108e-01, 7.810944652776587e-02, 3.179351548351488e+00, 1.159384965357654e+00, 1.049793350396997e+00, 5.883078158855697e-01, 3.742485332902554e-01
275, 8.611254988401693e-01, -2.893481064341921e-04, 1.105859573570910e+00, 7.820808278377704e-01, 7.478386095490426e-02, 3.182881290290347e+00, 1.161521154977291e+00, 1.050333317843101e+00, 5.858690182492955e-01, 3.792644758553830e-01
276, 8.659183606363209e-01, 1.576262233722326e-04, 1.107645289748046e+00, 7.795986250632011e-01, 7.121302619834925e-02, 3.187248359164666e+00, 1.164242020970048e+00, 1.051096440120172e+00, 5.826254192364995e-01, 3.856532848925714e-01
277, 8.706903080242612e-01, 5.818957460419914e-04, 1.109363562836360e+00, 7.787139325314771e-01, 6.770105972434466e-02, 3.191693470314787e+00, 1.166527957826560e+00, 1.051528999964669e+00, 5.807169949459657e-01, 3.910208458405182e-01
278, 8.754414041516546e-01, 9.828349697515370e-04, 1.111225985935311e+00, 7.769426034855677e-01, 6.387482570878852e-02, 3.196402467296601e+00, 1.169182730801142e+00, 1.052155678142326e+00, 5.780232209963615e-01, 3.972544632317594e-01
279, 8.801717017795225e-01, 1.359822458771890e-03, 1.112526226653640e+00, 7.756564889989844e-01, 6.004904069994782e-02, 3.199575360560170e+00, 1.171023922543211e+00, 1.052580958981548e+00, 5.760563462672772e-01, 4.015777273955364e-01
280, 8.848812426491757e-01, 1.712246041447805e-03, 1.113992969632698e+00, 7.738645716660788e-01, 5.611363447522574e-02, 3.203249706139701e+00, 1.173217492052207e+00, 1.053164179697684e+00, 5.736000627841457e-01, 4.067284024894492e-01
281, 8.895700575117738e-01, 2.039496473569526e-03, 1.114881180021248e+00, 7.730920478858357e-01, 5.207458489722255e-02, 3.205258839766645e+00, 1.174400026751522e+00, 1.053385820656817e+00, 5.723054542235733e-01, 4.095050877043355e-01
282, 8.942381651674580e-01, 2.340976651045969e-03, 1.116581404298382e+00, 7.722277022958667e-01, 4.776604329976008e-02, 3.209768987453832e+00, 1.176684383708045e+00, 1.053827673627996e+00, 5.704733940190625e-01, 4.148689389218664e-01
283, 8.988855736836189e-01, 2.616091806619947e-03, 1.117161729444871e+00, 7.711059895982366e-01, 4.361807120896976e-02, 3.210976176959294e+00, 1.177600743279057e+00, 1.054100505093581e+00, 5.690975132917158e-01, 4.170206238354852e-01
284, 9.035122777414877e-01, 2.864261594284231e-03, 1.118710646332888e+00, 7.698205510748026e-01, 3.917521567365931e-02, 3.215036925124128e+00, 1.179792775948168e+00, 1.054600472262873e+00, 5.670552075141436e-01, 4.221676903075239e-01
285, 9.081182611383246e-01, 3.084908585866040e-03, 1.119232726013804e+00, 7.693422143341803e-01, 3.463880013838664e-02, 3.216118296930218e+00, 1.180466270247183e+00, 1.054710287512290e+00, 5.662501096037568e-01, 4.237491083102823e-01
286, 9.127034944675503e-01, 3.277470819872696e-03, 1.120953118237060e+00, 7.694632460955030e-01, 2.979211832046197e-02, 3.220932944349537e+00, 1.182577271067391e+00, 1.054974781574495e+00, 5.652501065771872e-01, 4.287059055776067e-01
287, 9.172679360663036e-01, 3.441391647137944e-03, 1.120782698366197e+00, 7.685268312777686e-01, 2.520956785245437e-02, 3.219991936304365e+00, 1.182486756644584e+00, 1.055054435055373e+00, 5.645074656575352e-01, 4.284933705376725e-01
